a lot	a lot: adv. muito
describe	vt 1 descrever, narrar, fazer a descrição ou relação de, relatar, expor. 2 definir, contar minuciosamente, dar as características de, pintar, representar, traçar.
description	 n 1 descrição, ato de descrever, narração. 2 representação. 3 espécie, sorte, gênero, classe, condição. beyond description, past description indescritível.
deselect	vt excluir, retirar da participação.
desert	 n 1 deserto, região despovoada, deserta e árida. 2 lugar solitário, solidão, monotonia. • adj deserto, árido, desabitado, improdutivo, não lavrado, inculto, ermo, solitário. vt+vi desertar (do exército), transfugir, deixar, abandonar (seus deveres), largar, desistir de, ausentar-se sem licença.
desertification	n desertificação: transformação da terra em deserto.
deserve	vt+vi merecer, ter merecimento, ser digno de, ter direito a.
design	 n 1 projeto, intento, esquema, plano, escopo, fim, motivo, enredo, tenção. 2 desenho, bosquejo, esboço, debuxo, delineação, risco, modelo. 3 invenção artística, arranjamento, arte de desenho. • vt+vi 1 projetar, planejar, ter em mira, propor-se, ter intenção. 2 designar, destinar, assinar. 3 desenhar, traçar, debuxar, esboçar, delinear, bosquejar.
designate	vt 1 designar, indicar, marcar, apontar, mostrar. 2 nomear, escolher, assinalar, destinar, eleger, dar a conhecer. • adj designado, nomeado.
designer	 n 1 desenhista. 2 planejador, ma­qui­­nador. fashion designer desenhista de modas.
desire	 n 1 desejo, apetite, vontade, cobiça, desejo violento, avidez, anelo, rogo. he is my heart’s desire / eu o quero muito. 2 coisa desejada. 3 cobiça sexual, luxúria, paixão. • vt+vi 1 desejar, apetecer, querer, cobiçar. it leaves a great deal to be desired / deixa muito a desejar. 2 pedir, rogar. 3 ter irrefreável desejo sexual.
deskilling	 n Tech desespecialização: situação de um operário cuja especialização é substituída, com vantagem, pela introdução de máquinas para a mesma função.
desolation	 n 1 desolação, devastação, ruína, estrago. 2 deserto, lugar assolado, desolado. 3 solidão. 4 aflição, desconsolação, grande tristeza.
despair	 n 1 desesperação, desespero, falta de esperança, desesperança. 2 pessoa ou coisa que causa desespero. • vi desesperar, tirar a esperança a, causar desespero, desanimar, descoroçoar. in despair desesperado. out of despair em desespero, desesperadamente. to drive someone to despair levar alguém ao desespero.
despise	vt desprezar, desdenhar, menosprezar.
despotically	adv despoticamente, tiranicamente.
destination	 n 1 destino, destinação, fim. 2 destino, direção, lugar a que se dirige alguma pessoa ou coisa.
destroy	vt 1 destruir, desfazer, abater, aniquilar, despedaçar. 2 assolar, desolar. 3 arrasar, demolir, arruinar. 4 exterminar, extirpar. 5 matar. 6 anular, frustrar, provar ser falso.
destroyer	 n 1 destruidor, desolador, assolador, exterminador. 2 Naut destróier, navio torpedeiro.
destruction	 n 1 destruição, ato ou efeito de destruir, demolição, ruína, devastação. 2 extermínio, carnificina.
desulphurization	n = desul­phurisation.
desultorily	 adv inconstantemente, erradiamente, levianamente, sem método, sem nexo.
detail	 n 1 detalhe, particularidade, minúcia, pormenor, item, circunstância, narração minuciosa. 2 Mil pequeno destacamento. 3 rol de nomes de operários, etc. distribuídos para serviço especial, corpo de homens escolhido para serviço especial. • vt 1 detalhar, particularizar, pormenorizar, circunstanciar, narrar minuciosamente. 2 distribuir serviços militares, destacar. in detail detalhadamente, ponto por ponto. to go into detail entrar em detalhes.
detain	vt 1 deter, demorar, reter, retardar. 2 impedir, embaraçar. 3 guardar em prisão provisória ou custódia.
detainee	 n detento (especialmente político).
detect	vt 1 descobrir (o crime, o engano ou desígnio de alguém), denunciar, revelar, investigar crimes, etc. 2 Tech demodular.
detective	 n detetive, investigador. • adj 1 incumbido de ou apropriado para descobrir, investigar crimes, etc. 2 pertencente ou relativo à polícia secreta.
detention	 n 1 detenção, ato de deter, retenção, prisão, apreensão. 2 demora, detença. 3 embargo.
determination	 n 1 determinação, resolução, decisão. 2 firmeza. 3 conclusão, tenção. 4 Jur decisão judicial. 5 definição, delimitação, designação, fixação. 6 fim.
determine	vt+vi 1 determinar, estabelecer, resolver, tomar uma resolução, decidir, fixar, delimitar, definir. 2 decretar. 3 concluir, acabar, terminar. 4 indicar com precisão. 5 induzir, ordenar. 6 averiguar. 7 revogar, cancelar. to determine to do, to determine doing decidir a fazer.
determinedly	adv determinada­mente, resolutamente, firmemente.
detest	vt detestar, odiar, abominar.
detestably	adv detestavelmente, abominavelmente.
detonate	vt+vi detonar, explodir.
detrimentally	adv danosamente.
devastate	vt devastar, assolar, arruinar, destruir, tornar deserto, saquear.
devastatingly	adv de modo devastador, desolador.
develop	vt+vi 1 desenvolver(-se), progredir, evoluir, desenrolar, desdobrar-se, explanar. 2 crescer, aumentar, alargar-se, tornar-se maior ou mais forte. 3 fomentar. 4 revelar-se, mostrar, vir à luz gradualmente. 5 Phot revelar um filme, uma chapa. 6 Mus desenvolver um elemento temático nas suas possibilidades musicais. to develop a disease contrair uma doença.
development	 n 1 desenvolvimento, ato ou efeito de desenvolver, evolução gradual, crescimento, aumento, incremento, adiantamento, progresso. 2 Phot revelação. 3 área construída por incorporadora.
deviation	 n desvio, afastamento, separação, divergência, desacordo, variação.
device	 n 1 invento artificioso, invenção, artifício, dispositivo, aparelho. 2 projeto, plano, esquema. 3 estratagema, truque, ardil, astúcia. 4 desenho, padrão, modelo. 5 Her divisa, emblema. 6 engenho. 7 Comp dispositivo: qualquer equipamento eletrônico (geralmente acessório) que ligado ao computador possiblita efetuar operações completas e independentes. a man full of devices homem engenhoso, inventivo. circuit-breaking device dispositivo de interrupção. to leave someone to their own devices deixar alguém fazer o que quiser, deixar alguém executar algo por sua própria conta.
devote	vt 1 devotar, dedicar, consagrar, sacrificar, empregar. 2 consignar. to devote oneself dedicar-se, entregar-se, consagrar-se.
diagnostic	 n diagnóstico, sintoma da moléstia. • adj diagnóstico, diagnosticável.
diagonal	 n 1 Geom diagonal, linha diagonal, direção oblíqua. 2 tecido cujos fios correm obliquamente. • adj 1 diagonal, oblíquo. 2 diz-se de tecido cujos fios correm obliquamente.
diagram	 n 1 diagrama, representação gráfica de determinado fenômeno. 2 esboço, delineação, figura. • vt fazer um diagrama.
diagrammatically	adv dia­gra­ma­ticamente.
dialect	 n dialeto.
dialectics	 n dialética.
dialog	 n = dialogue.
dialogue	 n diálogo. • vt+vi dialogar.
diamond	 n 1 diamante, pedra preciosa. 2 brilhante. 3 losango, rombo. 4 diamante: instrumento para cortar vidro. 5 ouros pl (no jogo de cartas). 6 Typogr corpo 4 l/2 m. 7 Amer quadra de beisebol. 8 vidraça em forma de losango. • vt adornar com diamantes. • adj de diamante, diamantino. black diamonds a) diamantes escuros. b) carvão. rough diamonds a) diamante bruto. b) pessoa grosseira porém honesta e boa.
diary	 n 1 diário. 2 agenda. to keep a diary ter e escrever num diário, fazer um diário.
diatonic	 adj Mus diatônico.
dickens	 n diabo, demônio. what the dickens! que diabo!
dictate	 n ordem, injunção, preceito, doutrina, ditame. • [dikt´eit, d´ikteit] vt+vi 1 ditar. 2 dar ordens, impor, prescrever, decretar, declarar.
dictator	 n 1 ditador, indivíduo que concentra temporariamente os poderes do Estado. 2 pessoa despótica, autoritária.
dictatorially	adv ditatorialmente, despoticamente.
dictatorship	 n 1 ditadura. 2 fig despo­tismo.
dictionary	 n dicionário.
didactic	 adj didático, instrutivo.
didactically	adv didaticamente.
die	n (pl dice, dies) 1 dado. 2 azar, sorte, fado, destino. 3 jogo de dados, Archit pl dies soco, cubo. 4 Tech cunho, molde, estampa, matriz, cassonete, fieira, qualquer ferramenta ou aparelho para cunhar, talhar, estampar ou moldar. • vt imprimir, cunhar, estampar. straight as a die honestíssimo. the die is cast a sorte está lançada. vi 1 morrer (from, of), expirar, falecer, extinguir-se. 2 perder a força ou a vitalidade, definhar, consumir-se, apagar-se, findar. 3 acabar, interromper-se, parar. 4 desvanecer, desaparecer. 5 desmaiar(-se), esmorecer, desfalecer. 6 secar, murchar (falando de flores). to be dying to do desejar ardentemente fazer algo. to die a fair (a natural) death morrer de morte natural. to die a general morrer como general. to die away a) definhar, evaporar-se. b) desmaiar. to die by the sword morrer à espada. to die down diminuir, aquietar-se. to die for a) languir, almejar. b) sacrificar-se por, morrer por. to die for love morrer de amor. to die hard demorar para morrer, lutar contra a morte. to die in one’s bed ter morte natural. to die off languir, morrer em massa. to die out extinguir-se, findar, cessar, apagar-se.
diet	 n 1 dieta, regime. 2 alimento, sustento, ração diária. • adj dietético. diet drink bebida dietética. to be on a diet, to be dieting estar de dieta.   n dieta, assembléia legislativa de alguns países.
difference	 n 1 diferença, falta de semelhança, divergência, diversidade, distinção. 2 desconformidade, controvérsia, disputa, querela, altercação. 3 intervalo, distância entre dois números, subtração indicada. it makes no difference dá no mesmo, não importa. to split the difference chegar a um meio-termo, chegar a um acordo. what difference does it make? que diferença faz? que importa?
different	adj diferente (from), distinto, diverso, dessemelhante, desigual, variado.
difficult	adj 1 difícil, dificultoso. 2 enfadonho, árduo, penoso, intricado, difícil de entender ou de contentar, caprichoso, rabugento.
difficulty	 n 1 dificuldade, qualidade do que é difícil. 2 obstáculo, impedimento, objeção, situação crítica, embaraço. 3 disputa, querela, desacordo. 4 fadiga, apuro, relutância. 5 difficulties pl embaraço financeiro. to be in difficulties estar em dificuldades financeiras. to do something with difficulty fazer algo com dificuldade, com esforço. to have/find difficulty in doing something encontrar dificuldade para fazer algo.
diffract	vt 1 difratar, fazer difração de. 2 apartar, separar. 3 Opt desviar os raios luminosos.
dig	 n 1 ação de cavar, escavação. 2 empurrão. 3 observação sarcástica. 4 cutucão. • vt+vi 1 cavar, escavar, cavoucar, revolver a terra com enxada ou pá, trabalhar com enxada ou pá, tirar cavando, obter alguma coisa cavando. 2 abrir caminho cavando, furar, trespassar. 3 Amer sl labutar, trabalhar ou estudar arduamente. 4 empurrar, impelir com força, fincar. 5 indagar à procura de informações. to dig a hole fazer um buraco (na terra). to dig a pit for armar uma cilada. to dig at fazer uma observação sarcástica ou mordaz. to dig dirt sl fofocar, falar mal da vida alheia. to dig for cavar na terra buscando alguma coisa. to dig in a) entrincheirar-se, cavar trincheiras. b) trabalhar com afinco. to dig into trabalhar arduamente. to dig oneself in a) tomar aposentos, alojar. b) recusar mexer-se ou ceder. c) fazer-se indispensável. to dig out a) tirar, retirar cavando, desenterrar. b) obter por indagação. c) sl dar o fora, sair subitamente. to dig through abrir caminho, trespassar, furar. to dig up a) escavar, tirar cavando, desenterrar, revolver a terra. b) obter por indagação, trazer à luz. to dig your heels in bater o pé, recursar-se a mudar de idéia.
digital	 adj digital.
dignity	 n 1 dignidade, decência, respeitabilidade, nobreza, decoro. the job is beneath his dignity / o emprego não está à sua altura. 2 distinção, alto cargo ou ofício honorífico. 3 dignitário. to stand on their dignity manter a sua dignidade.
dildo	 n vulg 1 pênis, pinto de borracha ou silicone. 2 pessoa estúpida e desprezível.
dimension	 n 1 dimensão, extensão, tamanho. 2 grau de uma potência ou de uma equação em álgebra.
diminish	vt+vi 1 diminuir, tornar menor, reduzir. 2 abaixar, rebaixar. 3 degradar, depreciar. 4 decrescer, declinar. 5 subtrair. 6 afi­lar-se, adelgaçar.
dinar	 n dinar: a) Hist moeda de ouro de países islâmicos. b) moeda de países árabes, do Irã, da Iugoslávia.
dingbat	 n coll 1 pedra, pau, qualquer objeto que se pode atirar. 2 sl troço, treco, coisa. 3 pessoa tola. 4 vagabundo.
dingily	adv obscuramente, sombriamente, opacamente.
dinner	 n 1 jantar 2 banquete. Christmas dinner jantar de Natal. Easter dinner jantar de Páscoa. to have dinner jantar (verbo).
dinnerware	 n louça, copos e talheres para a mesa.
diopter	 n Opt = dioptre.
dioptre	 n Opt dioptria.
dioxide	 n Chem bióxido.
diplomacy	 n 1 diplomacia. 2 habilidade, astúcia. 3 tato, tino, prudência.
diplomatic	 adj 1 diplomático, relativo à diplomacia ou ao corpo diplomático. 2 que tem tato, hábil, sagaz. 
diplomatist	 n 1 diplomatista, pessoa versada em diplomática. 2 diplomata. 3 pessoa fina, de porte distinto ou hábil nos negócios.
dippy	 adj coll insensato, amalucado.
direct	vt+vi 1 dirigir, conduzir, guiar, encaminhar para, ornar. 2 administrar, gerir, controlar, servir de guia, chefe, etc. 3 apontar, mostrar, indicar, ensinar o caminho a. 4 endereçar. 5 instruir, ensinar. 6 governar, ordenar, mandar, comandar. 7 dirigir a palavra a. 8 prescrever, aconselhar. 9 enviar alguém a outrem. 10 visar, apontar, tender. • adj 1 direito, reto. 2 imediato, o mais próximo, o mais curto. 3 sem rodeios, sem intermediário. 4 sincero, franco, claro, verídico, exato. 5 em linha reta, relativo ao parentesco. 6 Gram direto. 7 diametral. 8 decisivo, conclusivo. 9 Astr na direção do movimento dos planetas, de oeste a leste. • adv 1 imediatamente. 2 diretamente. 3 absolutamente. 4 sem intervalo.
direction	 n 1 direção, ato de dirigir. 2 corporação dirigente, administração, controle, superintendência, diretoria. 3 objetivo, rumo, curso. 4 ordem, instrução, comando, orientação. 5 tendência, procedimento, sentido. 6 regra, norma. 7 endereço. in this direction neste sentido. sense of direction senso de direção.
directly	adv 1 diretamente, em linha reta. 2 incontinenti. 3 imediatamente, logo que. 4 sem rodeios, claramente. 5 precisamente.
director	 n 1 diretor, aquele que dirige, admi­nistrador, superintendente. 2 guia, confessor. 3 aparelho que controla. board of directors diretoria.
dirt	 n 1 lodo, lama, barra, poeira. 2 imundície, sujidade, porcaria. 3 esterco. 4 sordidez, vileza, baixeza, mesquinhez, sujeira, obscenidade. 5 Min cascalho, areia, escória, refugo. 6 coll mexerico de natureza maliciosa. 7 sl pessoa suja. 8 sl Brit escroto. as cheap as dirt (mulher) vulgar, sem classe. to dish the dirt coll espalhar histórias e mexericos maliciosos sobre alguém. to do someone dirt prejudicar, maltratar, fazer sujeira com alguém. to eat dirt sofrer injúrias e abusos. to throw dirt upon a person caluniar, denegrir. to treat like dirt tratar injustamente, desrespeitosamente.
dirty	vt+vi sujar, emporcalhar, manchar. • adj 1 sujo, porco. 2 vil, baixo, desprezível, sórdido, obsceno, avarento. 3 de cor suja ou turva. 4 borrascoso, tempestuoso, ventoso. • adv sl muito. to do the dirty on someone prejudicar alguém, pregar uma peça, enganar. to get the dirty water off one’s chest escarrar. to give someone a dirty look coll olhar com reprovação. to wash one’s dirty linen in public lavar a roupa suja em público.
disability	 n 1 inabilidade, incapacidade, impotência, inaptidão. 2 Jur falta de poder legal, inabilidade jurídica. to lie under a disability estar sob inabilidade jurídica.
disafforest	vt desflorestar, desmatar.
disagreement	 n 1 discordância, desacordo, discórdia, diferença de opinião, divergência, diversidade, dessemelhança. 2 desavença, desafinação, disputa. 3 Tech descontinuidade.
disappear	vi desaparecer, sumir-se, perder-se de vista, cessar, extinguir-se, retirar-se.
disappearance	 n 1 desaparecimento, desaparição. 2 falecimento.
disappoint	vt 1 desapontar, causar desapontamento. 2 frustrar as esperanças, etc., baldar, fazer malograr. 3 faltar à palavra, não cumprir o prometido. 4 (of) privar de.
disappointment	 n desapontamento, mau sucesso, contratempo, revés, pessoa ou coisa que causa desapontamento, frustração, desilusão.
disarmingly	 adv 1 de modo apaziguador. 2 fig irresistivelmente.
disaster	 n desastre, desgraça, revés, infortúnio, calamidade.
disc	 n 1 disco: qualquer objeto plano e circular. 2 Astr disco do sol, da lua. 3 peça de ferro ou de pedra lançada por atletas. 4 Bot receptáculo achatado acima do cálice. 5 disco de vitrola. 6 disco seletor de telefone. 7 Anat disco intervertebral.
discernibly	 adv perceptivelmente, visivelmente, de modo distinguível.
discharge	 n 1 descarga (do navio), descarregamento. 2 descarga, tiro de espingarda ou de canhão. 3 tiros disparados simultaneamente, explosão. 4 erupção. 5 evacuação, supuração. 6 desembocadura. 7 despedida, demissão, exoneração. 8 soltura, libertação, resgate. 9 (from) absolvição, perdão, quitação. 10 execução, desempenho, desencargo, pagamento, recibo. 11 efusão, saída. 12 quantidade de água que se escoa por segundo. 13 volume de descarga. 14 descarga elétrica. • vt+vi 1 descarregar, tirar a carga de. 2 desembarcar. 3 disparar, descarregar, detonar, dar tiro de canhão ou espingarda. 4 pagar uma dívida, cumprir, satisfazer. 5 despedir, demitir, mandar embora, depor alguém de um cargo, ofício, exonerar. 6 livrar-se de, desonerar, desabafar para aliviar. 7 libertar, soltar, perdoar, desencarcerar, desencarregar. 8 desembocar, esvaziar, expelir, supurar, derramar. 9 alvejar. 10 Electr descarregar (um acumulador, etc.). 11 emitir, irradiar, fornecer. 12 revogar. a discharge in full quitação plena. in discharge of para pagamento de. to discharge a man-of-war desarmar um navio de guerra. to discharge a volley dar salva de artilharia. to discharge one of his oath exonerar, absolver alguém de um juramento. to discharge someone on a charge of fraud absolver alguém da acusação de fraude.
discipline	 n 1 disciplina, educação, instrução. 2 regime de ordem imposta ou livremente consentida. 3 relações de subordinação, sujeição. 4 observância de preceitos e normas. 5 doutrina. 6 matéria de ensino. 7 disciplina eclesiástica. 8 castigo disciplinar, punição. • vt 1 disciplinar, ensinar, educar. 2 sujeitar à disciplina. 3 corrigir, fazer obedecer. 4 punir.
disclose	vt descobrir, revelar, expor, pôr à vista, divulgar, manifestar(-se), abrir-se, mostrar-se.
disclosure	 n 1 revelação, descoberta, coisa descoberta ou manifestada. 2 manifestação, participação, divulgação. 3 desabrocho.
discography	 n discografia: estudo e classificação de discos fonográficos.
discolorment	 n descoramento, desbotamento.
discolourment	n = discolorment.
disconcertingly	adv desconcer­tan­temente.
discontent	 n descontentamento, desgosto, desagrado, dissabor, inquietação. • vt descontentar, desagradar. • adj descontente.
discord	 n 1 discórdia, discordância, desacordo, disparidade, desarmonia, diferença de opinião. 2 Mus dissonância, desatinação de sons. • vi discordar, não concordar, divergir, desavir, desconcordar, chocar-se, desatinar.
discount	 n desconto, abatimento, diminuição da conta, ágio. he must sell at a discount / ele tem de vender com prejuízo. the bank has suspended discounts / o banco não desconta. • [diskount] vt+vi 1 descontar, abater, deduzir, diminuir, rebaixar. 2 pagar, receber ou trocar uma letra antes do vencimento mediante desconto. 3 não levar em conta. 4 não fazer caso, não considerar. 5 emprestar dinheiro, deduzindo os juros antecipadamente. discount off com o desconto de. to be at a discount estar sem cotação, desacreditado, malquisto. to lodge a note in a bank for discount fazer descontar um título num banco.
discounter	 n aquele que desconta, cambista.
discourse	 n 1 discurso, dissertação, raciocínio, discussão formal, tratado. 2 conversação, conversa. • vi 1 discursar, pronunciar, discorrer, expor com método, tratar, discutir. 2 conversar, falar. to discourse on/upon discursar a respeito.
discover	vt 1 descobrir, perceber, revelar, inventar, achar, explorar. 2 (oneself) patentear(-se), manitestar(-se), constatar, dar a conhecer, publicar. he discovered himself by this action / com este ato ele patenteou seu verdadeiro caráter. 3 avistar.
discreditably	adv ignominiosamente.
discreet	 adj discreto, sisudo, prudente, circunspeto, judicioso.
discrepancy	 n discrepância, dispa­ridade.
discretely	adv distintamente.
discreteness	 n separação, distinção, disjunção, desagregação.
discrimination	 n 1 discriminação, discernimento, distinção, diferença. 2 sinal para diferençar. 3 perspicácia, juízo.
discuss	 vt discutir, debater, questionar, examinar, ventilar.
discussion	 n discussão, argumentação, debate. under discussion em discussão.
disease	 n 1 doença, enfermidade, moléstia, mal. 2 incômodo físico ou moral, desassossego, desordem. • vt afligir com doença ou enfermidade, infectar, perturbar, desordenar, adoecer. Bright’s disease nefrite. Hansen’s disease mal de Hansen, lepra.
disequilibrium	 n Lat (pl dise­qui­libria) desequilíbrio.
disestablishment	 n separação da Igreja do Estado.
disgust	 n (at, for) desgosto, aversão, fastio, náusea, repugnância, asco, ódio. • vt desgostar-se, enfastiar-se, repugnar, causar fastio, aversão, asco, tédio.
dishonorer	 n desonrador, libertino, devasso.
dishonourer	n = dishonorer.
dishy	adj Brit coll pessoa atraente sexualmente.
disinfect	vt desinfetar, desinfeccionar, sanear, destruir os micróbios.
disingenuously	adv vilmente, falsamente, insinceramente.
disinvestment	 n Econ desinves­timento.
disjuncture	 n = disjunction.
disk	 n 1 disco: qualquer objeto plano e circular. 2 Astr disco do sol, da lua. 3 peça de ferro ou de pedra lançada pelos atletas, o mesmo que discus. 4 Bot receptáculo achatado acima do cálice. 5 disco de vitrola. 6 disco seletor de telefone. floppy disk Comp disco flexível. hard disk ou winchester Comp disco rígido.
dislike	 n aversão, antipatia, repugnância, desinclinação, desafeição, desagrado, desgosto. I take a dislike to pop music / tenho aversão à mú­sica popular. • vt não gostar de, ter aversão a, desagradar, antipatizar com, repugnar.
dismiss	vt 1 despedir, demitir, dar licença para partir. he was dismissed (from his job) / ele foi demitido. 2 repudiar, rejeitar, pôr de lado, descartar. he dismissed the question from his thought / ele não pensou mais nisso. 3 Jur recusar, não admitir (uma ação judicial, etc.).
dismissal	 n 1 demissão, dispensa, exoneração, destituição, despedida, licença para partir, deposição. 2 recusa de uma demanda.
disobedience	 n desobediência, inobediência, rebelião, insurreição, insubordinação.
disorganizer	n = disorganiser.
disorientate	vt = disorient.
disparagingly	 adv afrontosa­mente, injuriosamente, caluniosamente.
dispatch	<p>(também despatch) n 1 despacho, ato de despachar, expedição. 2 nota de deferimento ou indeferimento, missiva, mensagem. 3 rapidez, celeridade, presteza, prontidão. 4 execução da pena de morte, assassínio. • vt 1 despachar, expedir, enviar expeditamente. 2 aviar com presteza, aprontar, executar prontamente. 3 matar, despachar desta vida, liquidar. by dispatch por correio expresso. mentioned in dispatches mencionado por bravura ou serviços valiosos. with dispatch urgen­tíssimo.</p>
dispel	vt+vi 1 dispersar-se, dissipar-se, espalhar-se. 2 afastar, expelir, banir. 3 afastar cuidados ou medo.
dispensation	 n 1 (from) dispensa­ção, ato de dispensar. 2 distribuição, repartição. 3 fig desígnio, plano. 4 administração, regime. 5 dispensa (do Papa), isenção de serviço, dever ou encargo, desabrigo, licença. 6 Theol revelação, decreto ou vontade divina: determinado período em que o homem é submetido a alguma revelação especial da vontade de Deus, como por exemplo: a dispen­sação mosaica. 7 renúncia.
displace	vt 1 deslocar, tirar do seu lugar, desalojar. 2 substituir, colocar pessoa ou coisa em lugar de, tomar o lugar de. 3 demitir, depor, destituir, privar de autoridade, dignidade, cargo ou emprego. 4 desordenar, desarranjar.
display	 n 1 exibição, exposição, desenvolvimento. 2 espetáculo, pompa, aparato, ostentação, manifestação. 3 desfile. 4 Typogr escolha e arranjo de tipos para fazer sobressair certas palavras. 5 Publ expositor. 6 Comp tela, vídeo, mostrador. • vt 1 exibir, desenvolver, mostrar, expor, manifestar, patentear. 2 revelar, desdobrar, descobrir. 3 ostentar, mostrar pompa. on display em exibição pública.
disposal	 n 1 disposição, poder de dispor de alguma pessoa ou coisa, disponibilidade. 2 venda, transmissão, alienação, cessão. 3 distribuição. 4 arranjamento, arranjo, ordem, classificação. 5 arbítrio, controle. 6 ato de livrar-se de algo, descarte. at, in one’s disposal às ordens, ao dispor, à disposição de alguém.
dispose	vt+vi 1 dispor, arranjar, ordenar. 2 colocar em posição. 3 fixar, ajustar, determinar, dirigir, pôr-se de acordo. 4 dispor-se a, propender para, fazer propender, inclinar-se, preparar, acomodar, arrumar. 5 (of) usar livremente, fazer o que quer de alguém ou de alguma coisa, ter a posse, utilizar, empregar. 6 alienar (bens), desembaraçar-se de, vender, dispor de. 7 matar, liquidar, gastar. 8 estar pronto ou resolvido. 9 demitir, despedir, exonerar, destituir. man proposes, God disposes o homem põe e Deus dispõe. to dispose of jogar fora, descartar-se de. to dispose of something by will transmitir alguma coisa por testamento. to dispose to tender a.
disruptively	 adv de modo disruptivo.
disseisin	 n esbulho, usurpação, despoja­mento, desapropriação.
disseisor	 n espoliador, esbulhador, usur­pador.
disseizin	n = disseisin.
disseizor	n = disseisor.
dissolution	 n 1 dissolução, decomposição, desagregação, desintegração, liquefação. 2 separação, desunião. 3 extinção de contrato ou sociedade, licenciamento de uma assembléia. 4 morte. 5 destruição, ruína.
dissolve	 n Cin mudança gradual de uma cena para outra, dissolvência. • vt+vi 1 dissolver, liquefazer, derreter, dispersar. 2 decompor(-se), separar, desfazer, desagregar, dissolver-se, evaporar(-se), fundir. 3 desunir, dissolver uma sociedade, licenciar uma assembléia. 4 rescindir, anular. 5 esvair, desvanecer, morrer. 6 desencantar, quebrar o encanto de. 7 remover, apartar. to dissolve a difficulty remover, apartar uma dificuldade. to dissolve a doubt dissolver uma dúvida. to dissolve in tears debulhar-se em lágrimas.
distance	 n 1 distância, espaço que separa duas coisas ou pessoas, intervalo, trajeto, afastamento. 2 período, espaço de tempo. Mus intervalo. 3 reserva, afastamento, falta de benevolência, frigidez, indiferença, respeito, altivez, discrição. 4 separação, afastamento de uma pessoa ou grupo em suas relações de superioridade e de inferioridade. 5 Naut caminho. • vt distanciar, pôr distante, deixar para trás, passar adiante de alguém na carreira, espacear, exceder, passar além, ultrapassar. at a distance ao longe, de longe. in the distance distante. out of distance a perder de vista. the distance due to o respeito que se deve a. to keep one at a distance não familiarizar-se com. to keep one’s distance observar o respeito que se deve a alguém, haver-se com reserva.
distant	 adj 1 distante, remoto, afastado. 2 separado, apartado. 3 reservado, discreto, comedido, esquivo, indiferente, frio, incompatível, que impede familiaridade. 4 indistinto, embaçado, fraco, leve, não evidente, aparente ou manifesto.
distastefulness	 n aversão, repugnância, desagrado, desgosto, dissabor.
distinct	 adj 1 distinto, ilustre, eminente. 2 diferente, dessemelhante, diverso. 3 separado, apartado. 4 claro, evidente, aparente, preciso, inconfundível. 5 coll categórico, positivo, decidido.
distinctly	adv distintamente, claramente, inconfundivelmente, de maneira perspicaz, decididamente.
distinguish	vt+vi 1 distinguir. 2 diferen­çar, separar. 3 discriminar, caracterizar. 4 mostrar diferença, discernir. 5 mostrar preferência por, consideração especial a. 6 honrar, fazer estimação. 7 perceber pelos sentidos, ouvir, reconhecer, avistar. 8 salientar-se, evidenciar-se, diferençar-se.
distract	vt 1 distrair, tornar desatento, desviar o espírito, a atenção de um assunto, chamar a atenção de alguém para outro ponto ou objeto. 2 confundir, perturbar o ânimo, enlouquecer.
distractedly	adv distraidamente, abstratamente, loucamente, insensatamente.
distraction	 n 1 distração, abstração, desatenção, diversão. 2 distraimento, aquilo que distrai. 3 divertimento, interrupção, recreio. 4 perturbação mental, transtorno, demência, loucura. 5 agitação, frenesi, delírio.
distribute	vt 1 distribuir, repartir, partilhar, entregar, dar, dispensar. 2 espalhar, dispersar. 3 arranjar, classificar, dispor, pôr em ordem. 4 Jur administrar. 5 Typogr distribuir os tipos. 6 Log aplicar um termo em toda a sua extensão a todos os membros de uma classe considerados individualmente.
distribution	 n 1 distribuição, repartição, divisão, partilha. 2 disposição, classificação. 3 o que é distribuído. 4 Typogr distribuição e reposição dos tipos nas caixas. 5 Jur sucessão abintestada. 6 Log aplicação de um termo a todos os membros de uma classe, individualmente. 7 Tech mecanismo de distribuição.
distributional	 adj distributivo.
district	 n 1 distrito, região, divisão terri­torial, bairro. 2 comarca, jurisdição. • vt dividir em distritos.
disturb	vt 1 disturbar, perturbar, incomodar. 2 inquietar, tornar agitado, preocupado ou irrequieto, transtornar, agitar, toldar. 3 interromper, desarranjar, embaraçar.
diverse	 adj diverso, diferente, distinto, dessemelhante, multiforme.
diversity	 n 1 diversidade, diferença, dessemelhança, variedade, variegação. 2 multiplicidade.
divert	vt 1 divertir, distrair, desviar, fazer mudar de fim, de objeto, afastar(-se). 2 distrair(-se), recrear(-se), divertir(-se), entreter, folgar. 3 Mil promover uma diversão. 4 desviar-se, fazer uma digressão.
divestiture	 n 1 despimento, despoja­mento. 2 Jur alienação ou desapropriação de bens.
divestment	 n despimento, despoja­mento.
